state_fp,county_fp,avg_walkability_index,avg_intersection_density,avg_proximity_to_transit,avg_employment_mix,avg_employment_household_mix,block_groups
13,131,5.8824,33.363,NA,0.5322,0.5095,17
13,133,5.4737,13.6746,NA,0.5496,0.5401,19
13,135,8.7519,48.0744,707.1129,0.6277,0.532,313
13,137,6.5128,19.8754,NA,0.6361,0.5586,26
13,139,6.2556,25.1864,NA,0.5845,0.5272,90
13,141,2.9762,2.213,NA,0.2502,0.3493,7
13,143,5.2157,6.7826,NA,0.5538,0.4917,17
13,145,4.4062,5.2067,NA,0.5099,0.4314,16
13,147,5.1053,16.5849,NA,0.4615,0.4725,19
13,149,3.5625,2.0401,NA,0.4435,0.3858,8
13,151,6.4524,22.2295,NA,0.6559,0.4897,63
13,153,6.9595,44.4615,NA,0.5614,0.5446,74
13,155,5.1042,28.2904,NA,0.5555,0.4275,8
13,157,5.5575,13.4799,NA,0.54990000000000006,0.542,29
13,159,4.6667,3.6516,NA,0.484,0.5225,7
13,161,4.5152,10.8165,NA,0.454,0.4785,11
